Entity,Code,Year,Nuclear (% equivalent primary energy)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0.5184267
Africa,,1985,0.67463315
Africa,,1986,1.0949439
Africa,,1987,0.7431199
Africa,,1988,1.1812614
Africa,,1989,1.2475647
Africa,,1990,0.91924953
Africa,,1991,0.99597174
Africa,,1992,0.9966354
Africa,,1993,0.7763485
Africa,,1994,1.0038406
Africa,,1995,1.1244212
Africa,,1996,1.1424627
Africa,,1997,1.2016066
Africa,,1998,1.2725083
Africa,,1999,1.1653123
Africa,,2000,1.1550505
Africa,,2001,0.9127996
Africa,,2002,1.0015824
Africa,,2003,1.0024844
Africa,,2004,0.9791055
Africa,,2005,0.8196868
Africa,,2006,0.7095055
Africa,,2007,0.7664567
Africa,,2008,0.825949
Africa,,2009,0.79484254
Africa,,2010,0.8088605
Africa,,2011,0.7602307
Africa,,2012,0.72995776
Africa,,2013,0.7674118
Africa,,2014,0.7259775
Africa,,2015,0.62680084
Africa,,2016,0.74426967
Africa,,2017,0.6762785
Africa,,2018,0.53535604
Africa,,2019,0.59748846
Africa,,2020,0.4693002
Africa,,2021,0.5381136
Africa,,2022,0.4341817
Africa,,2023,0.3828042
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,0.5184267
Africa (EI),,1985,0.67463315
Africa (EI),,1986,1.0949439
Africa (EI),,1987,0.7431199
Africa (EI),,1988,1.1812614
Africa (EI),,1989,1.2475647
Africa (EI),,1990,0.9192495
Africa (EI),,1991,0.99597174
Africa (EI),,1992,0.9966354
Africa (EI),,1993,0.7763485
Africa (EI),,1994,1.0038406
Africa (EI),,1995,1.1244212
Africa (EI),,1996,1.1424627
Africa (EI),,1997,1.2016066
Africa (EI),,1998,1.2725083
Africa (EI),,1999,1.1653123
Africa (EI),,2000,1.1550505
Africa (EI),,2001,0.9127996
Africa (EI),,2002,1.0015824
Africa (EI),,2003,1.0024843
Africa (EI),,2004,0.97910535
Africa (EI),,2005,0.8196868
Africa (EI),,2006,0.70950544
Africa (EI),,2007,0.7664567
Africa (EI),,2008,0.825949
Africa (EI),,2009,0.79484254
Africa (EI),,2010,0.80886036
Africa (EI),,2011,0.7602307
Africa (EI),,2012,0.72995776
Africa (EI),,2013,0.7674118
Africa (EI),,2014,0.7259775
Africa (EI),,2015,0.62680084
Africa (EI),,2016,0.74426967
Africa (EI),,2017,0.6762785
Africa (EI),,2018,0.53535604
Africa (EI),,2019,0.59748846
Africa (EI),,2020,0.4693002
Africa (EI),,2021,0.53811353
Africa (EI),,2022,0.4341817
Africa (EI),,2023,0.3828042
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0
Algeria,DZA,2015,0
Algeria,DZA,2016,0
Algeria,DZA,2017,0
Algeria,DZA,2018,0
Algeria,DZA,2019,0
Algeria,DZA,2020,0
Algeria,DZA,2021,0
Algeria,DZA,2022,0
Algeria,DZA,2023,0
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0.71303004
Argentina,ARG,1975,1.7741024
Argentina,ARG,1976,1.7264837
Argentina,ARG,1977,1.0521969
Argentina,ARG,1978,1.8586161
Argentina,ARG,1979,1.60929
Argentina,ARG,1980,1.4066768
Argentina,ARG,1981,1.744777
Argentina,ARG,1982,1.1374078
Argentina,ARG,1983,1.9889795
Argentina,ARG,1984,2.7021787
Argentina,ARG,1985,3.3971066
Argentina,ARG,1986,3.1844246
Argentina,ARG,1987,3.4492764
Argentina,ARG,1988,3.042493
Argentina,ARG,1989,2.7420633
Argentina,ARG,1990,4.0271096
Argentina,ARG,1991,4.221327
Argentina,ARG,1992,3.5923667
Argentina,ARG,1993,3.805663
Argentina,ARG,1994,3.8384404
Argentina,ARG,1995,3.1914546
Argentina,ARG,1996,3.220835
Argentina,ARG,1997,3.3981621
Argentina,ARG,1998,3.0719392
Argentina,ARG,1999,2.8967624
Argentina,ARG,2000,2.5082862
Argentina,ARG,2001,2.9156404
Argentina,ARG,2002,2.4911704
Argentina,ARG,2003,3.0015123
Argentina,ARG,2004,2.9214582
Argentina,ARG,2005,2.3889818
Argentina,ARG,2006,2.5383062
Argentina,ARG,2007,2.2737732
Argentina,ARG,2008,2.272979
Argentina,ARG,2009,2.5723329
Argentina,ARG,2010,2.1724014
Argentina,ARG,2011,1.8636241
Argentina,ARG,2012,1.7849432
Argentina,ARG,2013,1.6540858
Argentina,ARG,2014,1.4629076
Argentina,ARG,2015,1.8245771
Argentina,ARG,2016,2.1445594
Argentina,ARG,2017,1.5682224
Argentina,ARG,2018,1.7724298
Argentina,ARG,2019,2.3026452
Argentina,ARG,2020,2.900478
Argentina,ARG,2021,2.6642268
Argentina,ARG,2022,1.8152946
Argentina,ARG,2023,2.1909652
Asia,,1965,0.0013207485
Asia,,1966,0.028151477
Asia,,1967,0.029152373
Asia,,1968,0.045011837
Asia,,1969,0.06790972
Asia,,1970,0.19404316
Asia,,1971,0.27309316
Asia,,1972,0.2991727
Asia,,1973,0.3147908
Asia,,1974,0.56602484
Asia,,1975,0.68287927
Asia,,1976,0.8613588
Asia,,1977,0.7408814
Asia,,1978,1.3673271
